thread_id,first_message,llm_assigned_intent,human_label
1826302,@AmazonHelp hey why ur delivery agents does this every time place an order? Doesn’t seems like ordering next time. What the point in being Prime member &amp; requesting one day delivery? https://t.co/Ibm7XRsyrY,delivery_delay,delivery_delay
2283535,"@115830 What’s point of offering same-day delivery if your drivers always end up delivering the next day? I needed item yesterday. Also, an idea: ask them to ring the doorbell and wait a couple minutes instead of dumping items by the door. Thanks.",delivery_delay,delivery_delay
756310,@119625 can we watch arjun reddy telugu movie releasing on amazonvideoin in USA with amazon prime membership.. please reply,product_info_question,product_info_question
2447398,@115821 thanks for the gift card that was unusable.   $50 someone wasted 😠 https://t.co/QLQuholYLC,billing_dispute,billing_dispute
1717543,@115821 any idea why lasership sucks? They didn't deliver a package because no one answered the door?,delivery_delay,delivery_delay
2560159,@115830 Could I please speak with someone regarding the lack of packaging for expensive goods? https://t.co/nSaSN5uUeQ,order_product_problem,order_product_problem
1073222,"@AmazonHelp tired of email/chat support with poor English. Delivery delayed, chat assured would be delivered. wasn’t.  Perhaps you can help?",delivery_delay,delivery_delay
1450068,What's a fun way to start your morning? Is it arguing with @Amazonhelp to get back the $40 dollars that was supposed to be refunded to you?,billing_dispute,billing_dispute
549490,You could have fit an entire case of dog treats in the box you used to ship 1. #notimpressed #wasteful #ecoUNfriendly @115821 https://t.co/kT0p7STVLr,service_complaint_vague,service_complaint_vague
1899862,@115833 last night my Echo &amp; Dot both started taking really long to respond and initiate commands. No change after reboot. Fixes?,order_product_problem,order_product_problem
348529,"@AmazonHelp Hello. My finger slipped and touched the answer to the question, ""Was this review helpful to you?""",non_support,other
2276476,@189997 @AmazonHelp @116439 DirectTV NOW app on fire sticks sucks and crashes ALL. THE. TIME. Which one of y'all is in charge of fixing this?,service_complaint_vague,order_product_problem
385381,"So annoying why do u even provide contact no fr ur delivery guy when he doesn't even receives call? Waiting since yesterday @115850 

😡😡",delivery_delay,delivery_delay
2768276,@115850 Reply,non_support,service_complaint_vague
1730161,"@AmazonHelp How can my order, made 3 months ago, not ship in time for release today?",delivery_delay,delivery_delay
622554,Dear @115830 Thanks for the good deals 👍 Now time to rip them up https://t.co/OEBnx64cWu,non_support,non_support
537466,"@1141 @115821  https://t.co/luyUoTuQve
Pls run a quality check for the product you are selling on website as the vendor is selling at 1,555/- whilst the MRP is 1,250/- only.",service_complaint_vague,service_complaint_vague
2868419,So mad at @115821 for giving me a late package notice like really I need to be compensated for the trouble,delivery_delay,delivery_delay
114335,@115830 free delivery with prime is all well and good but do I really need such a large box for 1 CD?!!!! https://t.co/QEoSAuHyAR,product_info_question,service_complaint_vague
707911,"S/o to @115821 and @118706 for failing to deliver my #BookofMythicality on release day, I watched the driver not attempt to ring the doorbell. https://t.co/iibquD8Vzt",delivery_delay,delivery_delay
423473,Ffs @115830 sort out your delivery drivers! 1 delivery left in the garden (gone when I got home) next 'failed to deliver'. Try neighbour,delivery_delay,delivery_delay
1801019,Damn @115821. My order has been “out for delivery” since 2pm yesterday with the promise of having it to me by 8pm yesterday. Still not here.,delivery_delay,delivery_delay
2867144,Two more @115821 packages that haven’t arrived on time this week. #nottoobigtofail,delivery_delay,delivery_delay
233755,@115850 The delivery executive did not receive my calls during the day and now my order is cancelled saying it's undeliverable. 😥🤔,delivery_delay,delivery_delay
539703,Hi @115830 I sent a DM to @AmazonHelp five days ago &amp; still no reply to my question. I totally understand that it’s the festive season &amp; there are way more important things going on in the world but any chance I can get an answer or at least pointed in the right direction ?,service_complaint_vague,service_complaint_vague
83445,@116324  @115830  messafe to amazon please dont use this company they are complet bull cheats and rude!,service_complaint_vague,service_complaint_vague
572416,Is it only me or is @115821 having your packages sent to the wrong damn locations in your neighborhood lately OR throwing it infront of the building only to have it stolen 😤 #Annoyed @AmazonHelp  #FixTheIssue,delivery_delay,delivery_delay
1246388,When your @115821 app says your order will be delivered today by 8pm but it’s already 8:19 and your package hasn’t arrived 😫,delivery_delay,delivery_delay
1595189,@115833 can i use echo plus adapter or echo show adapter for my echo spot?,product_info_question,product_info_question
1457944,@AmazonHelp My order has said shipped since the 24th and the last day for it to arrive is tomorrow but the package still isnt here any ideas,delivery_delay,delivery_delay
2355285,"So annoyed.. have prime with @115830 buy dog food should be here today, but because I put subscribe and save now having to wait until Saturday? How’s that work, product obviously in stock #annoyed #amazonprime #shopping",delivery_delay,delivery_delay
1655148,@115821 Seriously? All this packaging and a huge box all for the tube in the middle. #environmentallyunfriendly https://t.co/1ZP9sMR7Qu,order_product_problem,service_complaint_vague
2852883,"@115830 received email saying item delivered today I stay in all day. 7pm email saying first delivery unsuccessful. I was in all day. No card no nothing, can u explain?",delivery_delay,delivery_delay
1457949,@115821 I bought this and the box smells heavily of bug spray. https://t.co/Nw7JhAOXu9,order_product_problem,order_product_problem
2381806,"@115850 worst delivery service. till now order has not delivered. Rescheduled by delivery person and remark updating ""on customer request"". what the hell is this.",delivery_delay,delivery_delay
1366311,"And as an end to this shitastical day, I'm likely cancelling all my @116090 orders. Just got off the phone and so fucking useless.",service_complaint_vague,service_complaint_vague
1207587,@AmazonHelp I have currently tried 6 times to get a missing invoice for an order. Customer Services have no idea what they are doing. help?,billing_dispute,billing_dispute
1300139,"@AmazonHelp question, does Amazon take payments? Don't believe y'all do but thought I'd ask.",product_info_question,product_info_question
2310281,@115821 @AmazonHelp I don't think I've ever had as much complications and aggravations as dealing with your CS and this ridiculous 2 step verification I'm forced into. Now I can't login because my phone was stolen and thus can't get the code you keep sending. Ridiculous.,account_access,account_access
253366,@115850 our information is not secured. #AmazonGreatIndianFestival #AmazingFacts #AmazonCheat #AmazonSnoop @115850 👎🏼 @118702 👍🏼 https://t.co/wzASqVm2Sf,service_complaint_vague,service_complaint_vague
226371,"Hey @115850 
I've requested for an invitation for Amazon Echo! By when can I expect that invitation and will I surely get that?",product_info_question,product_info_question
598057,"After a week of using it, I can happily say the @115833 was one of the best purchases I’ve made this year.",non_support,non_support
