thread_id,full_thread_text,n_turns,gold_intent,gold_escalate,gold_reason,gold_reply_notes
1457261,"[Customer]: @115830 disappointed that I was told a gift was delivered but it was actually lost!
[AmazonHelp]: @458234 I am so sorry to hear about that! Have you had a chance to reach out to us via phone or chat to go over your options? ^LS
[Customer]: @AmazonHelp I did but all I was told was there was an error so I would have to 're order it myself. What if I had never checked it arrived?
[AmazonHelp]: @458234 Were we able to issue you a full refund for the missing item? ^TN
[Customer]: @AmazonHelp You were but like I said if I had not checked to confirm delivery I would have paid for something I did not receive
[AmazonHelp]: @458234 Apologies - was it due to an error on the tracking ? ^TD
[Customer]: @AmazonHelp No idea all I know is it took me chasing you to be told my package was lost......not the service I would expect",7,order_product_problem,escalate,"Physical defect replacement failure, courier pickup breakdown, or high-value damage requiring human logistics intervention.",Apologize sincerely for damaged/defective product; confirm no return shipping fee; initiate courier pickup re-schedule or manual replacement ticket via DM.
1521769,"[Customer]: Seriously @115821 This is now the second time I had this package delayed. The first one never showed up so I re ordered! https://t.co/Hva4J4PxiM
[AmazonHelp]: @143655 Oh no! I'm sorry for the delay! Let's look into this order together by phone or chat here: https://t.co/hApLpMlfHN ^TG
[Customer]: @AmazonHelp Thanks just sent a message
[AmazonHelp]: @143655 Please keep us posted, as we want to make sure your order arrives.  ^AG",4,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
903630,"[Customer]: @AmazonHelp as a heads up, I’ve made a complaint about your lack of help. Terrible service!
[AmazonHelp]: @313950 (1/2) We're unable to view account or order details over Twitter. I'm sorry for how frustrating this is, I definitely understand.",2,service_complaint_vague,auto_handle,General venting without specific order or account details; can be handled with empathetic brand apology and open offer to assist.,Acknowledge frustration with empathy; ask open-ended question inviting customer to share specific issue via DM if active help is needed.
1545235,"[Customer]: @115850 getting delayed my order!!!!
Tracking id 203116468881 
I was supposed to deliver today but postponed for 7th
[AmazonHelp]: @478585 Apologies for the trouble with the delivery of your order, we certainly did not expect this to happen. 1/3 ^PS
[Customer]: @AmazonHelp Resolved now....think that was an technical glitch....!
Out for delivery now delivery 📦 
A2Z🔱
[AmazonHelp]: @478585 We're glad to know the issue is resolved. Feel free to write to us if you have other concerns, we'd be happy to assist you. ^RS",4,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
679870,"[Customer]: @115830 free delivery on Amazon.uk has become so painfully slow I am reluctant to continue shopping on the site. Ordered items over 72 hours and ago and still haven’t dispatched. I would have received yesterday from another retailer. Terrible service.
[Customer]: @115830 Now 7 days later and still haven’t dispatched. What a joke.
[AmazonHelp]: @282210 I'm sorry to hear you still haven't received your order. What is the expected delivery date listed in your confirmation e-mail? ^JS
[Customer]: @AmazonHelp Friday 17th to Monday 27th. Now due to arrive tomorrow. Too long for items that are in stock. The fact they don’t dispatch for over a week is what is most annoying. I wouldn’t blame amazon for courier/postal delays post dispatch, but over a week to dispatch?
[AmazonHelp]: @282210 Hi, we do aim to deliver the parcels within the dates provided to you via email confirmation after the order has been placed. Please do reach out to us if the parcel arrival exceeds the date provided to you. Thanks for your patience with this matter ^CR
[Customer]: @AmazonHelp As a long time Amazon customer the service has gotten noticeably worse in the past 12-18 months in terms of delivery times. I would just like to make that point. The internet is full
of people saying the same thing. Maybe Amazon should notice what these people are saying.
[Customer]: @AmazonHelp Now my order has been updated again saying it will be delivered from 22-29th Nov. It was already late but was supposed to be delivered yesterday. 
 This is just not good enough.
[AmazonHelp]: @282210 Sorry to hear about the repeated issues Paul. Can I ask if you have received any emails from us advising you of the reason for the delay? ^TI",8,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
850064,"[Customer]: @115821 courier boy no. 9958065870 delivery my order today (406-1621105-6419547)
[AmazonHelp]: @321977 Please don't provide your order details, as we consider it to be personal info. Our page is visible to the public. 2/2 ^PS",2,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
2964038,"[Customer]: When you're too tired to bark at the Amazon courier even though Mom did a shit ton of Cyber Monday shopping. https://t.co/X3iXIMrjAQ
[AmazonHelp]: @817831 After a ruff day of shopping a little doggy-nap is required! 🐶 Sleep well doggos  ^JP",2,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
861294,"[Customer]: Sooooo I ordered a new charger and this it what I received?🤔 thanks amazon hun everything I wanted and more xxx @115830 https://t.co/mhxlUPi1Nr
[AmazonHelp]: @324508 Oh no, Alex! That won't charge up anything but your lashes! Click here to get return options: https://t.co/vwehYUGrso ^EA",2,non_support,auto_handle,Social media banter or positive praise requires no operational escalation; safe for autonomous warm brand reply.,Thank customer warmly for kind words; add polite brand closing (e.g. 'Have a wonderful day!').
285535,"[Customer]: @AmazonHelp has the worst customer service ever... it used to be at least decent 🤦🏽‍♀️
[AmazonHelp]: @184025 Why, what happened? ^AT
[Customer]: @AmazonHelp Your customer service rep lied about the status of my return items and yelled at me. Do better, all I want is my money back 🤷🏽‍♀️
[AmazonHelp]: @184025 Oh my! I am sorry about the poor experience you've had with us! Can you tell me when the refund was issued to you? ^FR
[Customer]: @AmazonHelp I returned 4 items in one package per the instructions but he claimed only 2 were received. And I’ve gotten a refund for 1.
[AmazonHelp]: @184025 Did he provide a time-frame in which to expect a full refund? ^WJ
[Customer]: @AmazonHelp Nope 😩
[AmazonHelp]: @184025 We want to help! Please contact in one more time so we can check this out &amp; view available options: https://t.co/EKXRLsnxJu ^GL
[Customer]: @AmazonHelp Thanks",9,service_complaint_vague,auto_handle,General venting without specific order or account details; can be handled with empathetic brand apology and open offer to assist.,Acknowledge frustration with empathy; ask open-ended question inviting customer to share specific issue via DM if active help is needed.
1183975,"[Customer]: @115821 where is my f************* cd ? Wu cds are rare, please deliver mine https://t.co/TFqrsK4FPW
[AmazonHelp]: @398404 Sorry for any trouble! What was the delivery date provided to you at checkout? Let us know, we'd like to help! ^SA
[Customer]: @AmazonHelp The CD was sent back and a credit received, I’ll just buy it again, no worries",3,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
1659681,"[Customer]: @115850 @AmazonHelp Why don't you use UPI for payments in amazon.in ? Safe and no ""resend OTP"" BS.
[AmazonHelp]: @295899 I shall forward the feedback to the concerned team and get it reviewed. Thank you for the suggestion.^HR",2,account_access,auto_handle,Standard password reset or device registration guidance can be autonomously provided via self-service recovery links.,Provide direct official link to amazon.com/help/account-recovery and suggest clearing app cache or rebooting device.
493311,"[Customer]: @115851 Sir have you any information about what going on amazon in India They provide guaranteed delivery date but they don't deliver it i ask them reason why you don't deliver today but they disconnect my call and they don't have any information. https://t.co/I5PbSGEw4P
[Customer]: @115851  https://t.co/PngSlDGSED
[AmazonHelp]: @231112 I get your concern about delivery of your order. Apologies. Please reach us from here: https://t.co/rS49hgaADF. We'll check your concern &amp; assist you. Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^SV
[Customer]: @AmazonHelp so this is good for me
[AmazonHelp]: @231112 Please reach out to us using the link mentioned earlier and we'll look into this. ^MK
[Customer]: @AmazonHelp NO i will never do that all customer have to know that how are you working
[AmazonHelp]: @231112 This being social media platform we don't have access to your account details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK",7,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
1442455,"[Customer]: @AmazonHelp Your delivery service is going to hell in Seattle.  Please train on how to use an intercom.  EVERY delivery is a pain in the xxx
[AmazonHelp]: @454697 We'd like to have a specialist take a look at this for you. Please provide details here: https://t.co/dV9KqdTpYb ^TR
[Customer]: @AmazonHelp Ok, I will give this another ten minutes.  I keep complaining about this and NOTHING changes.  It is not difficult to train immigrants!",3,product_info_question,auto_handle,"Factual inquiries regarding product compatibility, specs, or availability can be answered autonomously from public documentation.","Provide concise, accurate product specifications / compatibility details; link to official product detail page or FAQ."
2850779,"[Customer]: @115830 did u over sell the #echo constant delays, ordered 15th Nov!!! Terrible service
[AmazonHelp]: @792674 Have we missed the delivery date given in your order confirmation e-mail? We'd like to help, Louise! Please let us know. ^MT",2,service_complaint_vague,auto_handle,General venting without specific order or account details; can be handled with empathetic brand apology and open offer to assist.,Acknowledge frustration with empathy; ask open-ended question inviting customer to share specific issue via DM if active help is needed.
918010,"[Customer]: @115821 My son ordered a chromebook to do homework on with money he saved. It was mysteriously ""lost"" in transit by your carrier, AMZL US.Impossible to request an investigation into why it was ""lost"" and request a replacement. 3 Customer Service Departments later: on hold AGAIN.
[AmazonHelp]: @337935 I'm so sorry to hear you've had this trouble! When you spoke with us on the phone, what information were you provided? We'd like to help in any way we can. ^BL",2,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
583510,"[Customer]: Goddammit Amazon where is my Xenoblade 2?! https://t.co/TXFtbo3HQd
[AmazonHelp]: @257624 Hi, sorry to hear you've not received your item yet. Can you advise what the tracing states? You can check this out via this link: https://t.co/Y5jpI9gRhE. ^JC.",2,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
1185795,"[Customer]: @115821 why do you lie and say you ship ups no tracking number,$400 of food never delivered shipper says no boxes!!! LIES SCAM AMAZON SUCKS!
[AmazonHelp]: @396887 Oh wow! I am so sorry about this Sharon! Was this an Amazon fresh order? ^BE
[Customer]: @AmazonHelp LIED stated UPS but not shipped UPS 3 rd party shipper says no boxes$400 compensate $23?",3,scam_phishing_check,auto_handle,"Public domain safety inquiry; AI agent can immediately identify phishing patterns, advise not clicking links, and provide reporting address.",Confirm Amazon never requests passwords or payment details via SMS/email; instruct customer to forward suspicious message to stop-spoofing@amazon.com.
526099,"[Customer]: Dear Amazon dot com where is my dog raincoat? That was going to be the highlight of my Friday night!
[AmazonHelp]: @241727 Hey there! We don't want to let you down. Were you given an e-mail confirmation for your shipping date? You can check here: https://t.co/Y5jpI9ys9c ^MO",2,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
158860,"[Customer]: @115821 my wife and I have two separate deliveries that show as delivered to the mail room. We don’t have a mail room. Carrier was amazon. Please advise.
[AmazonHelp]: @152515 I'm sorry to hear this! We'd like to help out, and look further into this. In order for us to do so, please provide details here: https://t.co/CMrci4LPLq. ^WJ
[Customer]: @AmazonHelp Done.",3,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
180212,"[Customer]: @119625 need help. How do I project the video onto my TV? The player doesn't support chromecast. My TV, VU, can't download your app.
[AmazonHelp]: @158404 (2/2) using the Fire TV Stick: https://t.co/k127uHWllD. ^HK",2,order_product_problem,auto_handle,"Software app crash or streaming issue can be addressed via standard troubleshooting steps (cache clearing, app reinstall, firmware update).",Provide step-by-step app cache clear and device restart steps; link to official Fire TV / Prime Video troubleshooting help page.
64184,"[Customer]: Got the signed copy today .... Very excited .... @3709 thnx @115850 ""the boy with a broken heart"" https://t.co/a7vX1k2Wjr
[AmazonHelp]: @130734 After all, the antidote to heartache is love. Happy reading! ^KA",2,order_product_problem,auto_handle,Standard item return or replacement can be self-served through the online Returns Center.,Provide link to amazon.com/returns; explain prepaid drop-off options; invite DM if self-service portal presents an error.
865989,"[Customer]: @AmazonHelp Guys, how do I set my fire TV stick to Indian region? I am not able to see Indian content.
[AmazonHelp]: @325643 Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly with Fire TV stick. ^SM",2,order_product_problem,auto_handle,"Software app crash or streaming issue can be addressed via standard troubleshooting steps (cache clearing, app reinstall, firmware update).",Provide step-by-step app cache clear and device restart steps; link to official Fire TV / Prime Video troubleshooting help page.
2766348,"[Customer]: @115850 order no. 402-0592426-5190706 found broken and used Samsung Evo plus 32gb # https://t.co/L9DQqOgUfb
[AmazonHelp]: @773640 Apologies, did you report this to our customer service team here: https://t.co/vlvfJr4nN9? 
Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^SI",2,order_product_problem,auto_handle,Standard item return or replacement can be self-served through the online Returns Center.,Provide link to amazon.com/returns; explain prepaid drop-off options; invite DM if self-service portal presents an error.
364000,"[Customer]: @115850 Hi Amazon, I placed an order half n hour back, which i now want to cancel but I cant locate Cancel order option. Please help.
[AmazonHelp]: @202270 Please get in touch with our support team: https://t.co/vlvfJr4nN9 for further assistance. ^HA
[Customer]: @AmazonHelp Thank you, I went ahead and requested for cancellation.
[AmazonHelp]: @202270 You're welcome. We'll also send you a confirmation email once the order is canceled. Kindly refer for more info. ^PS",4,other,auto_handle,"Routine return policy, locker instructions, or trade-in inquiries can be answered via self-service help links.",Provide direct URL to locker return instructions or self-service order cancellation portal.
834858,"[Customer]: @AmazonHelp prime account, ordered last Friday, keeps being “unexpectedly delayed” but you have them in stock on your website. Will I even be getting my order?
[AmazonHelp]: @261203 Hi Zee, please contact us here so we can look into it:  https://t.co/JzP7hlA23B ^AT
[Customer]: @AmazonHelp Can I not just give you the order number? Because this isn’t the first time we’ve  spoken to someone about this.
[AmazonHelp]: @261203 We advise customers to avoid posting personal information via a public forum. Get in touch via https://t.co/JzP7hlA23B. ^BM",4,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
1558775,"[Customer]: 1/2 @AmazonHelp @126705 This is disgusting service!!!! You've both delivered to our address before. I've paid extra for this!! https://t.co/6bU6VTa3ui
[AmazonHelp]: @338849 Oh my! I'm sorry for this. Just to clarify, can you verify no info is missing on the address for this? https://t.co/aaDyEz1VgE ^AL
[Customer]: @AmazonHelp I've spoken to member of your team who was brilliant in sorting a refund.The problem is Royal Mail. Your service Amazon, cannot be faulted!",3,delivery_delay,escalate,Address delivery failure for paid extra delivery requiring carrier review.,Acknowledge delivery failure; request tracking and address via DM to coordinate carrier re-attempt.
576057,"[Customer]: Shout out to the #Boston @115821 @169994 and @25188 for the beautiful wreath! Brought it home to surprise my wife and it smelled amazing when I opened the box and she loved it! #Winning #TreasureTruck https://t.co/UdACvvWtCw
[AmazonHelp]: @255541 Glad to hear you both like it, Scott!^TI",2,non_support,auto_handle,Social media banter or positive praise requires no operational escalation; safe for autonomous warm brand reply.,Thank customer warmly for kind words; add polite brand closing (e.g. 'Have a wonderful day!').
1862531,"[Customer]: @AmazonHelp how do I add a gift card to a pre-order I’ve already made?
[AmazonHelp]: @556594 Follow this link but it may not work if the option isn't available - https://t.co/DTAph8ufRh ^KM
[Customer]: @AmazonHelp Could you advise on a particular order number if I send it? I’ve already paid some of initial cost with a gift card but can’t add another
[AmazonHelp]: @556594 No we can't but contact us here: https://t.co/JzP7hlA23B for information if you wish ^AS",4,product_info_question,auto_handle,"Factual inquiries regarding product compatibility, specs, or availability can be answered autonomously from public documentation.","Provide concise, accurate product specifications / compatibility details; link to official product detail page or FAQ."
872606,"[Customer]: @AmazonHelp my prime now order is showing as delivered but we never received it.
[AmazonHelp]: @327169 I am sorry for the troubles, Jacob! Have you tried these steps: https://t.co/Y4hwXoNXVw to locate delivery? Keep us posted! ^FR
[Customer]: @AmazonHelp Yes I have. It's a prime now delivery that contains perishables and I specifically requested that someone must be present to accept it.
[AmazonHelp]: @327169 Okay, let's take a closer look together. Please reach out via call/chat so we can help:  https://t.co/hApLpMlfHN ^RM",4,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
1260205,"[Customer]: @AmazonHelp Stunned that I told you my son had £88 stolen in marketplace scam/data breach but after 3 tweets you have not bothered to reply
[AmazonHelp]: @415262 Hi, sorry that your Tweets weren't picked up. Did the agent you spoke to escalate this so it can be investigated? ^JJ
[Customer]: @AmazonHelp And we were assured in writing by a member of the “leadership team” (Dianne D) that the refund had been processed last week. But we never got it and now she does not reply to emails.
[AmazonHelp]: @415262 Paul, my team would like to take a closer look at this with you. Please send us your info here. https://t.co/LWpdKto3k6 ^MW
[Customer]: @AmazonHelp Just done that. Thanks for your help.
[AmazonHelp]: @415262 You're welcome. We will reach out to you as soon as possible. ^CR
[Customer]: @AmazonHelp Still no reply from you? Amazingly shameful behaviour. And one of your phone reps just hung up on me... should we just close all our family’s amazon accounts? You’ll see how much we spend with you and yet you treat me like this. What am I supposed to do if you just ignore me?
[AmazonHelp]: @415262 Did you receive an e-mail from us when you account was closed? What advice did we offer? ^BM
[Customer]: @AmazonHelp You haven’t closed my a/c. Just threatened to freeze it. You kept telling me to get the refund from my bank. When they finally agreed to do that but took up the matter with you, you’ve then demanded I refund you the £88, as the bank want it back from you. But I am the victim!
[AmazonHelp]: @415262 Could you have received a response to another e-mail address? Please check the spam/junk mail folders, as well. ^ST
[Customer]: @AmazonHelp Dismayed that you’ve now decided the best thing is to ignore me. Overnight, for no good reason, you disabled our account for a 6th time.  We’ve reset it now, but need to resolve this once &amp; for all without you demanding £88 from someone who has already had £88 stolen via Amazon
[AmazonHelp]: @415262 Hi sorry to hear that, were you in touch with the account specialists? 
Ann
[Customer]: @AmazonHelp Only by email as customers aren’t allowed to talk to them, and I’m afraid they are useless. They are the ones who disabled my account 6 times &amp; demanded I repay Amazon the £88 that was stolen from us because my bank had queried why they had to refund me when it was Amazon’s fault",13,scam_phishing_check,auto_handle,"Public domain safety inquiry; AI agent can immediately identify phishing patterns, advise not clicking links, and provide reporting address.",Confirm Amazon never requests passwords or payment details via SMS/email; instruct customer to forward suspicious message to stop-spoofing@amazon.com.
792114,"[Customer]: @AmazonHelp Hi there, I ordered something and I’ve been charged for it twice. Can I claim for a refund please?
[AmazonHelp]: @308877 Hey there, Mike! Can you please double-check that there's not a 2nd order &amp; it's not an authorisation: https://t.co/6F4Yv7aOUy? ^WJ",2,billing_dispute,escalate,"Financial transaction investigation, refund processing, or disputed card charges require human billing specialist access.",Acknowledge billing concern with empathy; request order number and charge date via private DM; avoid asking for credit card numbers in public; initiate refund audit.
1650267,"[Customer]: @AmazonHelp Is this legit? https://t.co/eiesF78bct
[AmazonHelp]: @370627 This e-mail isn't from Amazon. For more details about how to identify an Amazon e-mail, check here: https://t.co/1vdcnWECiZ  ^AR",2,scam_phishing_check,auto_handle,"Public domain safety inquiry; AI agent can immediately identify phishing patterns, advise not clicking links, and provide reporting address.",Confirm Amazon never requests passwords or payment details via SMS/email; instruct customer to forward suspicious message to stop-spoofing@amazon.com.
2299107,"[Customer]: @115821 purchased6fingerlings on Amazon at beg of Sept-1 deliveredNOTreal, other5not delivered. huge scam on #Amazon
VERYUPSET.NO CUST SERV
[AmazonHelp]: @667339 I'm so sorry for the poor experience, Angela. Will you clarify if this item was sold by Amazon or a seller? You can find out here: https://t.co/Y5jpI9gRhE ^AB
[Customer]: @AmazonHelp They were sellers, however I️ expect a site as large as amazon to better sort the sellers! How is it that SIX SEPARATE SELLERS can be frauds?!?!
[AmazonHelp]: @667339 I can understand the disappointment, Angela! Have you been able to file an A-to-z Guarantee so we can investigate further: https://t.co/0srZCeVHYe? ^CS
[Customer]: @AmazonHelp Oh! And it seems at least two of these sellers have left the marketplace.Very convenient.
[AmazonHelp]: @667339 We want to make sure your orders are investigated so please keep us posted on the status of the claims. ^DD",6,scam_phishing_check,auto_handle,"Public domain safety inquiry; AI agent can immediately identify phishing patterns, advise not clicking links, and provide reporting address.",Confirm Amazon never requests passwords or payment details via SMS/email; instruct customer to forward suspicious message to stop-spoofing@amazon.com.
