thread_id,ai_suggested_intent,my_final_intent,intent_was_changed,ai_suggested_escalate,my_final_escalate,escalate_was_changed,time_spent_seconds
1558775,other,delivery_delay,True,auto_handle,escalate,True,37.6
576057,non_support,non_support,False,auto_handle,auto_handle,False,20.9
1862531,product_info_question,product_info_question,False,auto_handle,auto_handle,False,27.9
872606,delivery_delay,delivery_delay,False,escalate,escalate,False,25.6
1260205,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,49.1
792114,billing_dispute,billing_dispute,False,escalate,escalate,False,16.4
1650267,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,17.8
2299107,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,28.3
982303,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,16.6
1310276,other,other,False,auto_handle,auto_handle,False,17.9
461307,other,delivery_delay,True,auto_handle,escalate,True,39.5
859621,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,23.6
1322914,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,23.9
919805,delivery_delay,delivery_delay,False,escalate,escalate,False,29.0
1315843,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,20.2
1363151,product_info_question,product_info_question,False,auto_handle,auto_handle,False,18.1
280455,billing_dispute,billing_dispute,False,escalate,escalate,False,23.5
1701046,other,other,False,auto_handle,auto_handle,False,21.2
2976925,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,20.9
826272,order_product_problem,order_product_problem,False,escalate,escalate,False,17.4
883018,order_product_problem,order_product_problem,False,escalate,escalate,False,29.3
2547033,other,delivery_delay,True,auto_handle,escalate,True,33.3
2775904,other,other,False,auto_handle,auto_handle,False,26.4
2511454,account_access,account_access,False,auto_handle,auto_handle,False,26.1
913359,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,20.5
2033438,account_access,account_access,False,escalate,escalate,False,26.5
2854266,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,25.2
1106530,delivery_delay,delivery_delay,False,escalate,escalate,False,29.7
459000,product_info_question,product_info_question,False,auto_handle,auto_handle,False,17.8
271910,billing_dispute,billing_dispute,False,escalate,escalate,False,41.3
408798,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,28.5
2816347,non_support,non_support,False,auto_handle,auto_handle,False,18.1
2870692,delivery_delay,delivery_delay,False,escalate,escalate,False,22.7
2714668,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,23.5
179924,delivery_delay,delivery_delay,False,escalate,escalate,False,55.5
549977,product_info_question,product_info_question,False,auto_handle,auto_handle,False,21.0
2873292,delivery_delay,delivery_delay,False,escalate,escalate,False,26.2
351124,delivery_delay,delivery_delay,False,escalate,escalate,False,29.2
181261,delivery_delay,delivery_delay,False,escalate,escalate,False,43.3
2671803,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,19.7
2967771,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,23.1
2897520,other,other,False,auto_handle,escalate,True,50.5
2373336,product_info_question,product_info_question,False,auto_handle,auto_handle,False,38.1
886168,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,20.7
2931938,non_support,non_support,False,auto_handle,auto_handle,False,23.2
735006,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,19.2
420552,other,delivery_delay,True,auto_handle,escalate,True,33.7
1421966,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.1
257809,account_access,account_access,False,auto_handle,auto_handle,False,16.7
2399213,other,other,False,escalate,escalate,False,38.9
2918813,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,16.9
2907870,delivery_delay,delivery_delay,False,escalate,escalate,False,26.0
763067,delivery_delay,delivery_delay,False,escalate,escalate,False,27.3
430649,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,19.4
1339637,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,19.0
500753,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,41.6
315279,product_info_question,product_info_question,False,auto_handle,auto_handle,False,24.0
2269256,other,service_complaint_vague,True,auto_handle,escalate,True,36.0
435758,delivery_delay,delivery_delay,False,escalate,escalate,False,47.9
2096186,non_support,non_support,False,auto_handle,auto_handle,False,16.1
1253649,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,21.8
281936,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,54.0
1634644,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.3
2514430,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,18.1
1126123,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,48.6
2893073,account_access,account_access,False,auto_handle,auto_handle,False,16.9
1664424,product_info_question,product_info_question,False,auto_handle,auto_handle,False,32.0
215978,billing_dispute,billing_dispute,False,escalate,escalate,False,39.6
1323527,other,other,False,auto_handle,auto_handle,False,28.6
2493725,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,38.0
1122278,account_access,account_access,False,auto_handle,auto_handle,False,18.1
2877770,account_access,account_access,False,escalate,escalate,False,52.5
289060,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,17.4
398781,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,23.3
1626645,delivery_delay,delivery_delay,False,escalate,escalate,False,28.0
2771745,other,other,False,auto_handle,escalate,True,31.5
2539678,other,other,False,auto_handle,auto_handle,False,20.9
2418710,order_product_problem,order_product_problem,False,escalate,escalate,False,22.2
2300800,billing_dispute,billing_dispute,False,escalate,escalate,False,22.1
436948,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.3
2236498,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,22.2
549355,other,delivery_delay,True,auto_handle,escalate,True,45.7
2944371,other,other,False,auto_handle,auto_handle,False,23.6
526570,product_info_question,product_info_question,False,auto_handle,auto_handle,False,28.7
1497701,non_support,non_support,False,auto_handle,auto_handle,False,28.4
348494,billing_dispute,billing_dispute,False,escalate,escalate,False,23.0
1996341,delivery_delay,delivery_delay,False,escalate,escalate,False,27.7
584641,non_support,non_support,False,auto_handle,auto_handle,False,18.5
2324479,account_access,account_access,False,escalate,escalate,False,16.5
2731181,delivery_delay,delivery_delay,False,escalate,escalate,False,25.5
2142871,order_product_problem,order_product_problem,False,escalate,escalate,False,23.6
248659,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,16.7
885487,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,27.4
923690,product_info_question,product_info_question,False,auto_handle,auto_handle,False,26.6
450792,delivery_delay,delivery_delay,False,escalate,escalate,False,27.1
2418441,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,22.1
1147874,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,17.0
2971984,non_support,non_support,False,auto_handle,auto_handle,False,19.8
71839,billing_dispute,billing_dispute,False,escalate,escalate,False,25.4
2584284,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,18.1
865815,non_support,non_support,False,auto_handle,auto_handle,False,55.5
2386259,other,non_support,True,auto_handle,auto_handle,False,31.6
462479,account_access,account_access,False,escalate,escalate,False,27.8
1403257,other,delivery_delay,True,auto_handle,escalate,True,38.9
2794310,product_info_question,product_info_question,False,auto_handle,auto_handle,False,18.5
152163,delivery_delay,delivery_delay,False,escalate,escalate,False,29.0
1719217,other,account_access,True,auto_handle,escalate,True,42.7
384140,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,22.6
1182602,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,17.0
2276038,other,delivery_delay,True,auto_handle,escalate,True,28.5
2895936,non_support,non_support,False,auto_handle,auto_handle,False,23.2
349735,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.3
2424649,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,17.8
1450098,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,16.6
2192329,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,21.0
1933027,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,17.8
878864,other,other,False,auto_handle,auto_handle,False,23.2
2460730,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,22.9
391169,product_info_question,product_info_question,False,auto_handle,auto_handle,False,16.6
2615171,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.4
2890549,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,28.9
1895452,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,17.7
1526932,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,22.1
2981591,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,23.5
320613,delivery_delay,delivery_delay,False,escalate,escalate,False,30.6
1558898,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,19.8
2229039,product_info_question,product_info_question,False,auto_handle,auto_handle,False,29.8
1155125,delivery_delay,delivery_delay,False,escalate,escalate,False,35.0
234126,delivery_delay,delivery_delay,False,escalate,escalate,False,25.0
766176,order_product_problem,order_product_problem,False,escalate,escalate,False,24.3
331628,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,19.4
2212183,delivery_delay,delivery_delay,False,escalate,escalate,False,21.9
2527631,product_info_question,product_info_question,False,auto_handle,auto_handle,False,19.7
2935199,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,21.8
1226160,billing_dispute,billing_dispute,False,escalate,escalate,False,26.4
129735,other,other,False,auto_handle,auto_handle,False,26.4
2760846,order_product_problem,order_product_problem,False,escalate,escalate,False,21.8
2159226,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,19.2
1626652,order_product_problem,order_product_problem,False,escalate,escalate,False,21.2
932729,other,other,False,auto_handle,auto_handle,False,22.9
1634640,delivery_delay,delivery_delay,False,escalate,escalate,False,23.0
1002901,non_support,non_support,False,auto_handle,auto_handle,False,17.5
134816,other,delivery_delay,True,auto_handle,escalate,True,41.0
380565,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,18.2
2697207,non_support,non_support,False,auto_handle,auto_handle,False,18.0
2103073,product_info_question,product_info_question,False,auto_handle,auto_handle,False,23.4
569197,delivery_delay,delivery_delay,False,escalate,escalate,False,27.0
1416575,product_info_question,product_info_question,False,auto_handle,auto_handle,False,22.9
779286,other,delivery_delay,True,auto_handle,escalate,True,28.8
2829429,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,24.0
1033189,other,billing_dispute,True,auto_handle,auto_handle,False,40.9
845671,non_support,non_support,False,auto_handle,auto_handle,False,25.9
53522,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,25.3
1346570,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,17.3
1676399,non_support,non_support,False,auto_handle,auto_handle,False,19.9
517640,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,25.2
386474,other,other,False,auto_handle,auto_handle,False,19.2
2734346,other,other,False,auto_handle,auto_handle,False,16.5
33189,non_support,non_support,False,auto_handle,auto_handle,False,19.0
461314,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,26.4
817604,account_access,account_access,False,escalate,escalate,False,18.1
1184664,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,24.8
662763,other,service_complaint_vague,True,auto_handle,auto_handle,False,33.5
2760824,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,23.7
2870727,billing_dispute,billing_dispute,False,escalate,escalate,False,24.0
1939135,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,22.9
1438558,delivery_delay,delivery_delay,False,escalate,escalate,False,31.7
2877845,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,24.7
74675,non_support,non_support,False,auto_handle,auto_handle,False,25.9
2864672,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,28.7
2906697,order_product_problem,order_product_problem,False,escalate,escalate,False,25.6
1745339,non_support,non_support,False,auto_handle,auto_handle,False,27.8
789023,billing_dispute,billing_dispute,False,escalate,escalate,False,22.0
379839,other,other,False,auto_handle,auto_handle,False,16.5
1932527,delivery_delay,delivery_delay,False,auto_handle,auto_handle,False,20.7
2416382,scam_phishing_check,scam_phishing_check,False,auto_handle,auto_handle,False,35.0
2278351,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,22.8
1178052,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,27.3
86211,other,other,False,auto_handle,auto_handle,False,23.7
627423,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,19.1
1155116,order_product_problem,order_product_problem,False,auto_handle,auto_handle,False,25.0
631726,service_complaint_vague,service_complaint_vague,False,auto_handle,auto_handle,False,38.3
215080,other,other,False,auto_handle,auto_handle,False,21.4
1229661,product_info_question,product_info_question,False,auto_handle,auto_handle,False,17.9
1237575,delivery_delay,delivery_delay,False,escalate,escalate,False,29.5
